  gamemain.cpp
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\load.h(1): warning C4067: プリプロセッサ ディレクティブの後に余分な文字がありました - 改行が必要です
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(766): warning C4305: '+=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(768): warning C4305: '+=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(769): warning C4305: '-=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(770): warning C4305: '-=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(778): warning C4305: '+=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(781): warning C4305: '-=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(848): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(860): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(872): warning C4305: '初期化中': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(904): warning C4244: '初期化中': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(905): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(933): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(934): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(949): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(955): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(956): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(966): warning C4244: '=': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(967): warning C4244: '=': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(976): warning C4244: '初期化中': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(992): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(993): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1038): warning C4305: '-=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1039): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1061): warning C4244: '初期化中': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1073): warning C4244: '初期化中': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1077): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1087): warning C4305: '+=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1098): warning C4244: '初期化中': 'double' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1099): warning C4244: '初期化中': 'double' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1100): warning C4244: '初期化中': 'double' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1101): warning C4244: '初期化中': 'double' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1102): warning C4244: '初期化中': 'double' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1103): warning C4244: '初期化中': 'double' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1104): warning C4244: '初期化中': 'double' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1105): warning C4244: '初期化中': 'double' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1131): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1132): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1150): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1151): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1160): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1163): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1173): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1175): warning C4305: '-=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1176): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1198): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1199): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1209): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1218): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1219): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1227): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1228): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1236): warning C4244: '初期化中': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1238): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1240): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1250): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1264): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1274): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1284): warning C4244: '引数': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1284): warning C4244: '引数': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1284): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1300): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1301): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1309): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1310): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1318): warning C4244: '初期化中': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1320): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1322): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1332): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1345): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1355): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1365): warning C4244: '引数': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1365): warning C4244: '引数': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1365): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1586): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1599): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1610): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1611): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1635): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1640): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1686): warning C4244: '初期化中': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1693): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1705): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1706): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1736): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1751): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1804): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1805): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1835): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1850): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1899): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1913): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1961): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1962): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(1964): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2015): warning C4244: '+=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2016): warning C4244: '-=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2016): warning C4244: '+=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2017): warning C4244: '+=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2018): warning C4244: '-=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2018): warning C4244: '+=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2019): warning C4244: '+=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2020): warning C4244: '-=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2020): warning C4244: '+=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2028): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2080): warning C4305: '+=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2088): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2092): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2096): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(2118): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
